,Unnamed: 0,FPP,English,Sentiment,sequence,sentiment,score
0,0,αβδηριτης,a man of Abdera,,αβδηριτης,anger,0.13701088726520538
1,1,αβελτερια,"silliness, stupidity, fatuity",,αβελτερια,trust,0.13582521677017212
2,2,αβιοι,"without a living, starving",,αβιοι,trust,0.12948589026927948
3,3,αβλαβια,freedom from harm,,αβλαβια,anger,0.13299492001533508
4,4,αβλης,not thrown,,αβλης,fear,0.1293686330318451
5,5,ᾰβουλια,"want of counsel, thoughtlessness",,ᾰβουλια,trust,0.13289445638656616
6,6,αβουτης,without oxen,,αβουτης,trust,0.1361810863018036
7,7,αβροβατης,softly,,αβροβατης,anticipation,0.1333194226026535
8,8,αβροκομης,with delicate,,αβροκομης,anticipation,0.13866853713989258
9,9,αβροτης,"delicacy, luxury",,αβροτης,anger,0.1405961960554123
10,10,αβροχιτων,"in soft tunic, softly clad",,αβροχιτων,anticipation,0.1292639821767807
11,11,αβῡδος,Abydos,,αβῡδος,sadness,0.13163015246391296
12,12,αγαθοεργια,"a good deed, service rendered",,αγαθοεργια,fear,0.1330607384443283
13,13,αγαθοποιια,well doing,,αγαθοποιια,trust,0.13091297447681427
14,14,αγαθωσυνη,"goodness, kindness",,αγαθωσυνη,trust,0.1354045271873474
15,15,αγακλεες,"very glorious, famous",,αγακλεες,trust,0.14018845558166504
16,16,αγαλλιᾱσις,"great joy, exultation",,αγαλλιᾱσις,sadness,0.13243718445301056
17,17,αγαλλις,the iris,,αγαλλις,anger,0.1346922218799591
18,18,αγαλμ,"a glory, delight, honour",,αγαλμ,sadness,0.1337653398513794
19,19,αγαλματοποιος,"a maker of statues, a sculptor, statuary",,αγαλματοποιος,anticipation,0.13733386993408203
20,20,αγαμεμνονιδης,Agamemnon's son,,αγαμεμνονιδης,trust,0.13149914145469666
21,21,αγαμεμνων,the very steadfast,,αγαμεμνων,trust,0.13362638652324677
22,22,αγαμια,celibacy,,αγαμια,joy,0.13650153577327728
23,23,αγᾰνακτησις,irritation,,αγᾰνακτησις,trust,0.13510212302207947
24,24,αγανοφροσυνη,"gentleness, kindliness",,αγανοφροσυνη,anger,0.13196274638175964
25,25,αγαπημα,"a delight, darling",,αγαπημα,fear,0.13259880244731903
26,26,αγαπηνωρ,"loving manliness, manly",,αγαπηνωρ,anger,0.13483504951000214
27,27,αγαπα,love,,αγαπα,trust,0.13951392471790314
28,28,αγγᾰρος,a mounted courier,,αγγᾰρος,anger,0.13720671832561493
